,kgMid,name,musicAnalyticsSectionRenderer_content_trackTypes_trackViews_id,data_inicio
0,/g/11h0d3dnyr,Gabriel Diniz,Y:AgWUtFtSviE,2019-01-04
1,/g/11b6_sq0s2,Mc Livinho,Y:lwp2e0tFtZM,2019-01-04
2,/g/11c54ch2hn,Márcia Fellipe,Y:j47F_UFQHm0,2019-01-04
3,,Jerry Smith,Y:j47F_UFQHm0,2019-01-04
4,/g/11b60z06t1,DENNIS,Y:sSoVIcYmkPY,2019-01-04
5,/g/11c2pmz334,MC Kevinho,Y:sSoVIcYmkPY,2019-01-04
6,/g/11f9w6dy53,MC L da Vinte,Y:KjM62Bvp744,2019-01-04
7,/g/11f146x8gz,Mc Gury,Y:KjM62Bvp744,2019-01-04
8,,Pineapple StormTV,Y:nqbzCLL6LGs,2019-01-04
9,,MC Cabelinho,Y:nqbzCLL6LGs,2019-01-04
10,,Mode$Tia,Y:nqbzCLL6LGs,2019-01-04
11,/g/11f126h_vb,Bob do Contra,Y:nqbzCLL6LGs,2019-01-04
12,/g/11gff6wktm,Azzy,Y:nqbzCLL6LGs,2019-01-04
13,/g/1yglpxkk0,Filipe Ret,Y:nqbzCLL6LGs,2019-01-04
14,,Dudu,Y:nqbzCLL6LGs,2019-01-04
15,/g/11c31yv9zh,Xamã,Y:nqbzCLL6LGs,2019-01-04
16,/g/11bv2ph0yr,Orochi,Y:nqbzCLL6LGs,2019-01-04
17,/g/11f4q3vd8y,Maquiny,Y:nqbzCLL6LGs,2019-01-04
18,/m/0j9m6s7,Gusttavo Lima,Y:mBmEWavFk1I,2019-01-04
19,/g/11g6k0gmj8,Felipe Araújo,Y:VXqoVg7ehsc,2019-01-04
20,/g/11f4v4x7mq,Ferrugem,Y:VXqoVg7ehsc,2019-01-04
21,/g/11c602sm4t,Zé Neto & Cristiano,Y:68DzEwBC2Cw,2019-01-04
22,/g/11g0mh8knm,Enzo Rabelo,Y:P82cZhiHyVw,2019-01-04
23,/g/11cnnwp26d,Marília Mendonça,Y:byDnHe9VQYA,2019-01-04
24,/g/11c2pmz334,MC Kevinho,Y:BmJNxhdwzx8,2019-01-04
25,/g/11c2psj56j,MC Kekel,Y:BmJNxhdwzx8,2019-01-04
26,/m/0gh91m8,Luan Santana,Y:kfOIKPq4YA8,2019-01-04
27,/m/0124x5pq,Wesley Safadão,Y:4PCEEvzdm1c,2019-01-04
28,/g/11cnnwp26d,Marília Mendonça,Y:-6fPcSaUvJ4,2019-01-04
29,/g/11cnnwp26d,Marília Mendonça,Y:J6yu9zcAxl8,2019-01-04
30,/m/0nhb1jz,Humberto & Ronaldo,Y:ixbdH09WSgw,2019-01-04
31,/m/0j9m6s7,Gusttavo Lima,Y:HvWN2Xy5eNc,2019-01-04
32,/m/0wtnl61,Henrique & Juliano,Y:IqYmZPfE9C8,2019-01-04
33,/g/11c602sm4t,Zé Neto & Cristiano,Y:B5WhTYUQGnA,2019-01-04
34,/g/11f5vgp9qk,Mc Bruninho,Y:h5Y0D2TGYH4,2019-01-04
35,/g/11f655yjcs,MC Vitinho Ferrari,Y:h5Y0D2TGYH4,2019-01-04
36,/g/11gr6vzdh1,Melim,Y:MjHDSBCrLbI,2019-01-04
37,/m/0j9m6s7,Gusttavo Lima,Y:58v1H58IxEY,2019-01-04
38,/g/11c602sm4t,Zé Neto & Cristiano,Y:Qk4JH4Vc8Qk,2019-01-04
