,id,name,viewCount,encryptedVideoId,artists,isVisible,atvExternalVideoId,thumbnail_thumbnails,chartEntryMetadata_currentPosition,chartEntryMetadata_previousPosition,chartEntryMetadata_percentViewsChange,chartEntryMetadata_periodsOnChart,releaseDate_year,releaseDate_month,releaseDate_day
0,Y:AgWUtFtSviE,Jenifer,35236567,D2rG7pXd2LY,"[{'kgMid': '/g/11h0d3dnyr', 'name': 'Gabriel Diniz'}]",True,W10ssxG3q9E,"[{'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",1,1.0,0.748762,13,2018,9,14
1,Y:68DzEwBC2Cw,Notificação Preferida (Ao Vivo),13390074,rYKOuKaWEjg,"[{'kgMid': '/g/11c602sm4t', 'name': 'Zé Neto & Cristiano'}]",True,vFW8c0N_nLs,"[{'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",2,9.0,0.3761163,29,2018,5,18
2,Y:j47F_UFQHm0,Quem Me Dera,13095491,BRw8e5OGnrI,"[{'kgMid': '/g/11c54ch2hn', 'name': 'Márcia Fellipe'}, {'name': 'Jerry Smith'}]",True,8-J6pdXOJhU,"[{'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",3,3.0,0.14536463,14,2018,10,15
3,Y:lwp2e0tFtZM,Hoje Eu Vou Parar Na Gaiola (feat. DJ Rennan da Penha),11856586,1ppPuobqt-g,"[{'kgMid': '/g/11b6_sq0s2', 'name': 'Mc Livinho'}]",True,R7WyzglbOrI,"[{'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",4,2.0,0.0196635,9,2018,10,9
4,Y:sSoVIcYmkPY,Agora é Tudo Meu,11647694,1MTsqRU-4LY,"[{'kgMid': '/g/11b60z06t1', 'name': 'DENNIS'}, {'kgMid': '/g/11c2pmz334', 'name': 'MC Kevinho'}]",True,lY-DINmUpcI,"[{'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",5,4.0,0.077878885,6,2018,12,5
5,Y:VXqoVg7ehsc,Atrasadinha,11568794,M76qUQTt_Sw,"[{'kgMid': '/g/11g6k0gmj8', 'name': 'Felipe Araújo'}, {'kgMid': '/g/11f4v4x7mq', 'name': 'Ferrugem'}]",True,GluKTc8_kk0,"[{'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",6,8.0,0.1770844,17,2018,9,13
6,Y:nqbzCLL6LGs,Poesia Acústica #6 - Era Uma Vez,10893335,jK2k1P56Cno,"[{'name': 'Pineapple StormTV'}, {'name': 'MC Cabelinho'}, {'name': 'Mode$Tia'}, {'kgMid': '/g/11f126h_vb', 'name': 'Bob do Contra'}, {'kgMid': '/g/11gff6wktm', 'name': 'Azzy'}, {'kgMid': '/g/1yglpxkk0', 'name': 'Filipe Ret'}, {'name': 'Dudu'}, {'kgMid': '/g/11c31yv9zh', 'name': 'Xamã'}, {'kgMid': '/g/11bv2ph0yr', 'name': 'Orochi'}, {'kgMid': '/g/11f4q3vd8y', 'name': 'Maquiny'}]",True,nwmHRJhjHtY,"[{'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",7,6.0,0.09233732,4,2018,12,24
7,Y:P82cZhiHyVw,Tijolinho Por Tijolinho (feat. Zé Felipe),10843902,UybGw37WbuY,"[{'kgMid': '/g/11g0mh8knm', 'name': 'Enzo Rabelo'}]",True,e1gBc9qzEp8,"[{'url': 'https://i.ytimg.com/vi/UybGw37WbuY/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/UybGw37WbuY/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/UybGw37WbuY/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/UybGw37WbuY/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/UybGw37WbuY/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",8,10.0,0.23488699,15,2018,8,10
8,Y:mBmEWavFk1I,Zé da Recaída,10358863,ng4MxUWqsR0,"[{'kgMid': '/m/0j9m6s7', 'name': 'Gusttavo Lima'}]",True,lzDpA_q4LYM,"[{'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",9,7.0,0.0448272,23,2018,8,9
9,Y:KjM62Bvp744,Parado no Bailão,10304623,upCptHeThio,"[{'kgMid': '/g/11f9w6dy53', 'name': 'MC L da Vinte'}, {'kgMid': '/g/11f146x8gz', 'name': 'Mc Gury'}]",True,7a0oiSnCWww,"[{'url': 'https://i.ytimg.com/vi/upCptHeThio/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/upCptHeThio/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/upCptHeThio/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/upCptHeThio/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/upCptHeThio/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",10,5.0,0.01019397,12,2018,7,23
