,id,name,viewCount,encryptedVideoId,artists,isVisible,atvExternalVideoId,thumbnail_thumbnails,chartEntryMetadata_currentPosition,chartEntryMetadata_previousPosition,chartEntryMetadata_percentViewsChange,chartEntryMetadata_periodsOnChart,releaseDate_year,releaseDate_month,releaseDate_day,data_inicio
0,Y:AgWUtFtSviE,Jenifer,20149435,D2rG7pXd2LY,"[{'kgMid': '/g/11h0d3dnyr', 'name': 'Gabriel Diniz'}]",True,W10ssxG3q9E,"[{'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/D2rG7pXd2LY/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",1,9.0,0.96075654,12,2018.0,9.0,14.0,2019-01-04
1,Y:lwp2e0tFtZM,Hoje Eu Vou Parar Na Gaiola (feat. DJ Rennan da Penha),11627940,1ppPuobqt-g,"[{'kgMid': '/g/11b6_sq0s2', 'name': 'Mc Livinho'}]",True,R7WyzglbOrI,"[{'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/1ppPuobqt-g/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",2,1.0,-0.2064594,8,2018.0,10.0,9.0,2019-01-04
2,Y:j47F_UFQHm0,Quem Me Dera,11433469,BRw8e5OGnrI,"[{'kgMid': '/g/11c54ch2hn', 'name': 'Márcia Fellipe'}, {'name': 'Jerry Smith'}]",True,8-J6pdXOJhU,"[{'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/BRw8e5OGnrI/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",3,4.0,-0.13798322,13,2018.0,10.0,15.0,2019-01-04
3,Y:sSoVIcYmkPY,Agora é Tudo Meu,10806125,1MTsqRU-4LY,"[{'kgMid': '/g/11b60z06t1', 'name': 'DENNIS'}, {'kgMid': '/g/11c2pmz334', 'name': 'MC Kevinho'}]",True,lY-DINmUpcI,"[{'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/1MTsqRU-4LY/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",4,6.0,0.016539985,5,2018.0,12.0,5.0,2019-01-04
4,Y:KjM62Bvp744,Parado no Bailão,10200638,upCptHeThio,"[{'kgMid': '/g/11f9w6dy53', 'name': 'MC L da Vinte'}, {'kgMid': '/g/11f146x8gz', 'name': 'Mc Gury'}]",True,7a0oiSnCWww,"[{'url': 'https://i.ytimg.com/vi/upCptHeThio/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/upCptHeThio/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/upCptHeThio/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/upCptHeThio/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/upCptHeThio/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",5,2.0,-0.27503884,11,2018.0,7.0,23.0,2019-01-04
5,Y:nqbzCLL6LGs,Poesia Acústica #6 - Era Uma Vez,9972501,jK2k1P56Cno,"[{'name': 'Pineapple StormTV'}, {'name': 'MC Cabelinho'}, {'name': 'Mode$Tia'}, {'kgMid': '/g/11f126h_vb', 'name': 'Bob do Contra'}, {'kgMid': '/g/11gff6wktm', 'name': 'Azzy'}, {'kgMid': '/g/1yglpxkk0', 'name': 'Filipe Ret'}, {'name': 'Dudu'}, {'kgMid': '/g/11c31yv9zh', 'name': 'Xamã'}, {'kgMid': '/g/11bv2ph0yr', 'name': 'Orochi'}, {'kgMid': '/g/11f4q3vd8y', 'name': 'Maquiny'}]",True,nwmHRJhjHtY,"[{'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/jK2k1P56Cno/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",6,12.0,0.059920553,3,2018.0,12.0,24.0,2019-01-04
6,Y:mBmEWavFk1I,Zé da Recaída,9914427,ng4MxUWqsR0,"[{'kgMid': '/m/0j9m6s7', 'name': 'Gusttavo Lima'}]",True,lzDpA_q4LYM,"[{'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/ng4MxUWqsR0/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",7,5.0,-0.19485459,22,2018.0,8.0,9.0,2019-01-04
7,Y:VXqoVg7ehsc,Atrasadinha,9828347,M76qUQTt_Sw,"[{'kgMid': '/g/11g6k0gmj8', 'name': 'Felipe Araújo'}, {'kgMid': '/g/11f4v4x7mq', 'name': 'Ferrugem'}]",True,GluKTc8_kk0,"[{'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/M76qUQTt_Sw/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",8,3.0,-0.27252665,16,2018.0,9.0,13.0,2019-01-04
8,Y:68DzEwBC2Cw,Notificação Preferida (Ao Vivo),9730336,rYKOuKaWEjg,"[{'kgMid': '/g/11c602sm4t', 'name': 'Zé Neto & Cristiano'}]",True,vFW8c0N_nLs,"[{'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/rYKOuKaWEjg/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",9,7.0,-0.08243651,28,2018.0,5.0,18.0,2019-01-04
9,Y:P82cZhiHyVw,Tijolinho Por Tijolinho (feat. Zé Felipe),8781291,UybGw37WbuY,"[{'kgMid': '/g/11g0mh8knm', 'name': 'Enzo Rabelo'}]",True,e1gBc9qzEp8,"[{'url': 'https://i.ytimg.com/vi/UybGw37WbuY/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/UybGw37WbuY/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/UybGw37WbuY/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/UybGw37WbuY/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/UybGw37WbuY/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",10,8.0,-0.17117864,14,2018.0,8.0,10.0,2019-01-04
10,Y:byDnHe9VQYA,BEBI LIGUEI,8642978,2nH7xAMqD2g,"[{'kgMid': '/g/11cnnwp26d', 'name': 'Marília Mendonça'}]",True,j-nFJPeWhQQ,"[{'url': 'https://i.ytimg.com/vi/2nH7xAMqD2g/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/2nH7xAMqD2g/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/2nH7xAMqD2g/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/2nH7xAMqD2g/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/2nH7xAMqD2g/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",11,13.0,-0.063378334,4,2018.0,12.0,15.0,2019-01-04
11,Y:BmJNxhdwzx8,O Bebê,8178674,Btyfrd-UtSw,"[{'kgMid': '/g/11c2pmz334', 'name': 'MC Kevinho'}, {'kgMid': '/g/11c2psj56j', 'name': 'MC Kekel'}]",True,E_sjLywAcgE,"[{'url': 'https://i.ytimg.com/vi/Btyfrd-UtSw/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/Btyfrd-UtSw/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/Btyfrd-UtSw/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/Btyfrd-UtSw/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/Btyfrd-UtSw/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",12,14.0,-0.09398565,18,2018.0,9.0,11.0,2019-01-04
12,Y:kfOIKPq4YA8,Vingança (Live) (feat. MC Kekel),7917307,ex-cr18tKDE,"[{'kgMid': '/m/0gh91m8', 'name': 'Luan Santana'}]",True,YYCld1mj0vU,"[{'url': 'https://i.ytimg.com/vi/ex-cr18tKDE/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/ex-cr18tKDE/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/ex-cr18tKDE/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/ex-cr18tKDE/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/ex-cr18tKDE/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",13,18.0,0.032829046,14,2018.0,9.0,4.0,2019-01-04
13,Y:4PCEEvzdm1c,Só Pra Castigar,7667342,V_w_KA1VKoQ,"[{'kgMid': '/m/0124x5pq', 'name': 'Wesley Safadão'}]",True,Guu1165El5A,"[{'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",14,10.0,-0.2287513,17,2018.0,9.0,12.0,2019-01-04
